WarehouseCode,TradingName,ProductKey,DateValue,WIPQty,DressMass,WIPMass,TapDate,PeriodStart
H53,Mt Joli,1802-03-01D,2023-03-31,1.0,570.62,0.57062,,
H53,Mt Joli,1802-03-01D,2023-03-31,50.0,570.62,28.531,,
H53,Mt Joli,1994-101-01C,2023-03-31,1.0,282.13,0.28213,,
H53,Mt Joli,2053-301-01B,2023-03-31,1.0,849.58,0.84958,,
H53,Mt Joli,1944-206-03B,2023-03-31,104.0,816.47,84.91288,,
H53,Mt Joli,1944-206-03B,2023-03-31,4.0,816.47,3.26588,,
H53,Mt Joli,1944-206-03B,2023-03-31,2.0,816.47,1.63294,,
H53,Mt Joli,1631-101-01D,2023-03-31,2.0,1458.3,2.9166,,
H53,Mt Joli,1631-101-01D,2023-03-31,20.0,1458.3,29.166,,
H53,Mt Joli,1631-101-01D,2023-03-31,10.0,1458.3,14.583,,
H53,Mt Joli,1837-103-01A,2023-03-31,1.0,638.2,0.6382,,
H53,Mt Joli,1837-103-01A,2023-03-31,1.0,638.2,0.6382,,
H53,Mt Joli,1664-104-01A,2023-03-31,13.0,623.24,8.10212,,
H53,Mt Joli,1664-104-01A,2023-03-31,6.0,623.24,3.73944,,
H53,Mt Joli,1664-104-01A,2023-03-31,1.0,623.24,0.62324,,
H53,Mt Joli,2031-101-01B,2023-03-31,2.0,381.92,0.76384,,
H53,Mt Joli,2053-200-02A,2023-03-31,6.0,555.65,3.3339,,
H53,Mt Joli,2053-200-02A,2023-03-31,2.0,555.65,1.1113,,
H53,Mt Joli,2053-200-02A,2023-03-31,28.0,555.65,15.5582,,
H53,Mt Joli,1685-01-03B,2023-03-31,2.0,324.32,0.64864,,
H53,Mt Joli,1671-00-03H,2023-03-31,3.0,366.5,1.0995,,
H53,Mt Joli,1671-00-03H,2023-03-31,1.0,366.5,0.3665,,
H53,Mt Joli,1990-208-01B,2023-03-31,3.0,2932.93,8.79879,,
H53,Mt Joli,1990-208-01B,2023-03-31,54.0,2932.93,158.37822,,
H53,Mt Joli,1990-208-01B,2023-03-31,2.0,2932.93,5.86586,,
H53,Mt Joli,1990-208-01B,2023-03-31,2.0,2932.93,5.86586,,
H53,Mt Joli,1837-303-01A,2023-03-31,1.0,661.34,0.66134,,
H53,Mt Joli,1802-01-01F,2023-03-31,15.0,512.11,7.68165,,
H53,Mt Joli,1802-01-01F,2023-03-31,2.0,512.11,1.02422,,
H53,Mt Joli,1802-01-01F,2023-03-31,12.0,512.11,6.14532,,
H53,Mt Joli,1914-200-02D,2023-03-31,2.0,899.47,1.79894,,
H53,Mt Joli,1914-200-03D,2023-03-31,2.0,879.06,1.75812,,
H53,Mt Joli,2035-206-01A,2023-03-31,1.0,5070.25,5.07025,,
H53,Mt Joli,2035-206-01A,2023-03-31,3.0,5070.25,15.21075,,
H53,Mt Joli,2035-206-01A,2023-03-31,2.0,5070.25,10.1405,,
H53,Mt Joli,1802-01-02F,2023-03-31,11.0,615.52,6.77072,,
H53,Mt Joli,1802-01-02F,2023-03-31,10.0,615.52,6.1552,,
H53,Mt Joli,1802-01-02F,2023-03-31,1.0,615.52,0.61552,,
H53,Mt Joli,1944-101-01A,2023-03-31,1.0,882.24,0.88224,,
H53,Mt Joli,2053-300-01A,2023-03-31,1.0,523.9,0.5239,,
H53,Mt Joli,2053-300-01A,2023-03-31,2.0,523.9,1.0478,,
H53,Mt Joli,2062-200-01A,2023-03-31,2.0,359.25,0.7185,,
H53,Mt Joli,2053-200-01A,2023-03-31,3.0,761.13,2.28339,,
H53,Mt Joli,2053-200-01A,2023-03-31,33.0,761.13,25.11729,,
H53,Mt Joli,2053-200-01A,2023-03-31,1.0,761.13,0.76113,,
H53,Mt Joli,1671-00-01H,2023-03-31,19.0,614.62,11.67778,,
H53,Mt Joli,1671-00-01H,2023-03-31,1.0,614.62,0.61462,,
H53,Mt Joli,1671-00-01H,2023-03-31,17.0,614.62,10.44854,,
H53,Mt Joli,1979-201-01B,2023-03-31,12.0,141.52,1.69824,,
H53,Mt Joli,2037-102-01C,2023-03-31,1.0,2032.55,2.03255,,
H53,Mt Joli,N7536-2,2023-03-31,3.0,341.55,1.02465,,
H53,Mt Joli,N7536-2,2023-03-31,1.0,341.55,0.34155,,
H53,Mt Joli,N7536-2,2023-03-31,7.0,341.55,2.39085,,
H53,Mt Joli,1944-206-02B,2023-03-31,2.0,1098.6,2.1972,,
H53,Mt Joli,1944-206-02B,2023-03-31,29.0,1098.6,31.8594,,
H53,Mt Joli,1944-206-02B,2023-03-31,16.0,1098.6,17.5776,,
H53,Mt Joli,1944-206-02B,2023-03-31,8.0,1098.6,8.7888,,
H53,Mt Joli,1979-101-01C,2023-03-31,15.0,971.14,14.5671,,
H53,Mt Joli,1889-06-03C,2023-03-31,2.0,550.66,1.10132,,
H53,Mt Joli,1651-0-01D,2023-03-31,3.0,272.16,0.81648,,
H53,Mt Joli,1651-0-01D,2023-03-31,4.0,272.16,1.08864,,
H53,Mt Joli,1990-208-02B,2023-03-31,2.0,2846.29,5.69258,,
H53,Mt Joli,1990-208-02B,2023-03-31,58.0,2846.29,165.08482,,
H53,Mt Joli,1631-203-01E,2023-03-31,2.0,2142.32,4.28464,,
H53,Mt Joli,1631-203-01E,2023-03-31,1.0,2142.32,2.14232,,
H53,Mt Joli,1631-203-01E,2023-03-31,1.0,2142.32,2.14232,,
H53,Mt Joli,1820-03-01B,2023-03-31,2.0,587.4,1.1748,,
H53,Mt Joli,1802-01-04F,2023-03-31,2.0,558.37,1.11674,,
H53,Mt Joli,1802-01-04F,2023-03-31,8.0,558.37,4.46696,,
H53,Mt Joli,2053-301-01A,2023-03-31,8.0,863.19,6.90552,,
H53,Mt Joli,1951-308-01A,2023-03-31,1.0,1601.18,1.60118,,
H53,Mt Joli,2062-100-01B,2023-03-31,4.0,343.37,1.37348,,
H53,Mt Joli,2034-202-02A,2023-03-31,2.0,1788.97,3.57794,,
H53,Mt Joli,2053-200-04A,2023-03-31,8.0,553.38,4.42704,,
H53,Mt Joli,2053-200-04A,2023-03-31,1.0,553.38,0.55338,,
H53,Mt Joli,2053-200-04A,2023-03-31,28.0,553.38,15.49464,,
H53,Mt Joli,1802-01-03F,2023-03-31,11.0,558.37,6.14207,,
H53,Mt Joli,1802-01-03F,2023-03-31,9.0,558.37,5.02533,,
H53,Mt Joli,1837-203-01A,2023-03-31,1.0,908.09,0.90809,,
H53,Mt Joli,2053-200-03A,2023-03-31,4.0,776.55,3.1062,,
H53,Mt Joli,2053-200-03A,2023-03-31,28.0,776.55,21.7434,,
H53,Mt Joli,2053-200-03A,2023-03-31,4.0,776.55,3.1062,,
H53,Mt Joli,N7534-2,2023-03-31,14.0,360.61,5.04854,,
H53,Mt Joli,N7534-2,2023-03-31,1.0,360.61,0.36061,,
H53,Mt Joli,N7534-2,2023-03-31,9.0,360.61,3.24549,,
H53,Mt Joli,1671-00-04H,2023-03-31,3.0,366.05,1.09815,,
H53,Mt Joli,1671-00-04H,2023-03-31,1.0,366.05,0.36605,,
H53,Mt Joli,2045-105-01A,2023-03-31,2.0,1152.12,2.30424,,
H53,Mt Joli,2045-105-01A,2023-03-31,3.0,1152.12,3.45636,,
H53,Mt Joli,2045-105-01A,2023-03-31,5.0,1152.12,5.7606,,
H53,Mt Joli,2045-105-01A,2023-03-31,27.0,1152.12,31.10724,,
H53,Mt Joli,2045-104-01A,2023-03-31,9.0,1667.86,15.01074,,
H53,Mt Joli,2045-104-01A,2023-03-31,4.0,1667.86,6.67144,,
H53,Mt Joli,2045-104-01A,2023-03-31,10.0,1667.86,16.6786,,
H53,Mt Joli,2045-106-01A,2023-03-31,5.0,1531.78,7.6589,,
H53,Mt Joli,2045-106-01A,2023-03-31,6.0,1531.78,9.19068,,
H53,Mt Joli,2045-106-01A,2023-03-31,9.0,1531.78,13.78602,,
H53,Mt Joli,2031-301-01A,2023-03-31,4.0,850.49,3.40196,,
H53,Mt Joli,2031-301-01A,2023-03-31,21.0,850.49,17.86029,,
H53,Mt Joli,2031-301-01A,2023-03-31,1.0,850.49,0.85049,,
H53,Mt Joli,2037-300-01B,2023-03-31,2.0,1788.06,3.57612,,
H53,Mt Joli,2037-300-01B,2023-03-31,1.0,1788.06,1.78806,,
H53,Mt Joli,2037-300-01B,2023-03-31,5.0,1788.06,8.9403,,
H53,Mt Joli,2053-300-01B,2023-03-31,2.0,508.93,1.01786,,
H53,Mt Joli,1951-102-01D,2023-03-31,1.0,2575.04,2.57504,,
H53,Mt Joli,1511-200-02B,2023-03-31,3.0,1693.26,5.07978,,
H53,Mt Joli,N7486-11,2023-03-31,9.0,263.54,2.37186,,
H53,Mt Joli,1511-200-01B,2023-03-31,1.0,1557.64,1.55764,,
H53,Mt Joli,1511-200-01B,2023-03-31,1.0,1557.64,1.55764,,
H53,Mt Joli,1511-200-01B,2023-03-31,2.0,1557.64,3.11528,,
H53,Mt Joli,N7485-10,2023-03-31,8.0,385.55,3.0844,,
H53,Mt Joli,1664-04-02F,2023-03-31,2.0,819.64,1.63928,,
H53,Mt Joli,1802-01-05F,2023-03-31,15.0,413.22,6.1983,,
H53,Mt Joli,1802-01-05F,2023-03-31,1.0,413.22,0.41322,,
H53,Mt Joli,1802-01-05F,2023-03-31,13.0,413.22,5.37186,,
H53,Mt Joli,2047-101-01B,2023-03-31,37.0,1651.08,61.08996,,
H53,Mt Joli,2047-101-01B,2023-03-31,5.0,1651.08,8.2554,,
H53,Mt Joli,2047-203-01A,2023-03-31,1.0,1715.49,1.71549,,
H53,Mt Joli,2035-206-02A,2023-03-31,1.0,4911.04,4.91104,,
H53,Mt Joli,2042-100-01C,2023-03-31,2.0,1505.47,3.01094,,
H53,Mt Joli,2042-203-02A,2023-03-31,1.0,2910.7,2.9107,,
H53,Mt Joli,2042-203-03A,2023-03-31,1.0,2611.78,2.61178,,
H53,Mt Joli,1733-204-02G,2023-03-31,27.0,3290.81,88.85187,,
H53,Mt Joli,1733-204-02G,2023-03-31,28.0,3290.81,92.14268,,
H53,Mt Joli,1733-204-07G,2023-03-31,8.0,4203.44,33.62752,,
H53,Mt Joli,1733-204-07G,2023-03-31,1.0,4203.44,4.20344,,
H53,Mt Joli,1733-204-07G,2023-03-31,29.0,4203.44,121.89976,,
H53,Mt Joli,1733-204-07G,2023-03-31,1.0,4203.44,4.20344,,
H53,Mt Joli,2035-303-01A,2023-03-31,8.0,2272.5,18.18,,
H53,Mt Joli,2035-303-01A,2023-03-31,1.0,2272.5,2.2725,,
H53,Mt Joli,2035-303-01A,2023-03-31,4.0,2272.5,9.09,,
H53,Mt Joli,1733-105-01D,2023-03-31,1.0,2015.31,2.01531,,
H53,Mt Joli,1733-21-01E,2023-03-31,1.0,3414.64,3.41464,,
H53,Mt Joli,1733-22-01E,2023-03-31,4.0,3401.94,13.60776,,
H53,Mt Joli,1733-22-01E,2023-03-31,2.0,3401.94,6.80388,,
H53,Mt Joli,1733-22-01E,2023-03-31,5.0,3401.94,17.0097,,
H53,Mt Joli,1733-22-01E,2023-03-31,1.0,3401.94,3.40194,,
H53,Mt Joli,1671-02-03M,2023-03-31,4.0,668.14,2.67256,,
H53,Mt Joli,2031-305-01B,2023-03-31,24.0,479.45,11.5068,,
H53,Mt Joli,2031-305-01B,2023-03-31,4.0,479.45,1.9178,,
H53,Mt Joli,1671-02-02M,2023-03-31,17.0,639.57,10.87269,,
H53,Mt Joli,1671-02-02M,2023-03-31,18.0,639.57,11.51226,,
H53,Mt Joli,1671-02-02M,2023-03-31,23.0,639.57,14.71011,,
H53,Mt Joli,1671-02-02M,2023-03-31,6.0,639.57,3.83742,,
H53,Mt Joli,1671-02-01M,2023-03-31,50.0,475.36,23.768,,
H53,Mt Joli,1671-02-01M,2023-03-31,11.0,475.36,5.22896,,
H53,Mt Joli,1671-02-01M,2023-03-31,1.0,475.36,0.47536,,
H53,Mt Joli,1671-02-01M,2023-03-31,2.0,475.36,0.95072,,
H53,Mt Joli,2031-101-01C,2023-03-31,2.0,456.77,0.91354,,
H53,Mt Joli,2031-101-01C,2023-03-31,2.0,456.77,0.91354,,
H53,Mt Joli,2031-101-01C,2023-03-31,7.0,456.77,3.19739,,
H53,Mt Joli,2031-105-01B,2023-03-31,2.0,705.34,1.41068,,
H53,Mt Joli,2031-105-01B,2023-03-31,2.0,705.34,1.41068,,
H53,Mt Joli,2031-105-01B,2023-03-31,1.0,705.34,0.70534,,
H53,Mt Joli,2031-106-01C,2023-03-31,1.0,317.51,0.31751,,
H53,Mt Joli,2031-106-01C,2023-03-31,2.0,317.51,0.63502,,
H53,Mt Joli,1711-00-07K,2023-03-31,2.0,335.66,0.67132,,
H53,Mt Joli,2035-105-01B,2023-03-31,4.0,2413.11,9.65244,,
H53,Mt Joli,2035-105-01B,2023-03-31,4.0,2413.11,9.65244,,
H53,Mt Joli,2035-105-01B,2023-03-31,27.0,2413.11,65.15397,,
H53,Mt Joli,2035-105-01B,2023-03-31,1.0,2413.11,2.41311,,
H53,Mt Joli,1980-408-01B,2023-03-31,4.0,3280.83,13.12332,,
H53,Mt Joli,1980-408-01B,2023-03-31,5.0,3280.83,16.40415,,
H53,Mt Joli,1980-207-01E,2023-03-31,1.0,5375.07,5.37507,,
H53,Mt Joli,1980-207-01E,2023-03-31,8.0,5375.07,43.00056,,
H53,Mt Joli,1980-207-01E,2023-03-31,24.0,5375.07,129.00168,,
H53,Mt Joli,1980-207-02E,2023-03-31,1.0,5412.26,5.41226,,
H53,Mt Joli,1980-207-02E,2023-03-31,3.0,5412.26,16.23678,,
H53,Mt Joli,2031-307-01A,2023-03-31,1.0,1128.99,1.12899,,
H53,Mt Joli,2004-302-01D,2023-03-31,6.0,1016.05,6.0963,,
H53,Mt Joli,2004-302-01D,2023-03-31,18.0,1016.05,18.2889,,
H53,Mt Joli,2004-106-01D,2023-03-31,8.0,1409.31,11.27448,,
H53,Mt Joli,2004-106-01D,2023-03-31,14.0,1409.31,19.73034,,
H53,Mt Joli,2004-400-01B,2023-03-31,1.0,1744.97,1.74497,,
H53,Mt Joli,1665-200-02A,2023-03-31,1.0,2046.61,2.04661,,
H53,Mt Joli,1665-200-02A,2023-03-31,7.0,2046.61,14.32627,,
H53,Mt Joli,1665-200-03A,2023-03-31,7.0,1421.1,9.9477,,
H53,Mt Joli,1665-200-03A,2023-03-31,2.0,1421.1,2.8422,,
H53,Mt Joli,1665-200-01A,2023-03-31,1.0,1790.78,1.79078,,
H53,Mt Joli,1665-200-01A,2023-03-31,1.0,1790.78,1.79078,,
H53,Mt Joli,1665-200-01A,2023-03-31,8.0,1790.78,14.32624,,
H53,Mt Joli,1665-200-01A,2023-03-31,2.0,1790.78,3.58156,,
H53,Mt Joli,1665-200-04A,2023-03-31,1.0,1609.8,1.6098,,
H53,Mt Joli,1665-200-04A,2023-03-31,5.0,1609.8,8.049,,
H53,Mt Joli,1665-200-04A,2023-03-31,3.0,1609.8,4.8294,,
H53,Mt Joli,1685-02-01F,2023-03-31,1.0,464.48,0.46448,,
H53,Mt Joli,1685-02-03F,2023-03-31,1.0,490.79,0.49079,,
H53,Mt Joli,2045-200-02C,2023-03-31,1.0,3043.6,3.0436,,
H53,Mt Joli,2045-200-02C,2023-03-31,17.0,3043.6,51.7412,,
H53,Mt Joli,2045-200-02C,2023-03-31,1.0,3043.6,3.0436,,
H53,Mt Joli,2045-200-03C,2023-03-31,21.0,2765.55,58.07655,,
H53,Mt Joli,2045-200-03C,2023-03-31,1.0,2765.55,2.76555,,
H53,Mt Joli,2045-200-03C,2023-03-31,1.0,2765.55,2.76555,,
H53,Mt Joli,2045-200-04C,2023-03-31,26.0,2770.09,72.02234,,
H53,Mt Joli,2045-200-01C,2023-03-31,10.0,3033.17,30.3317,,
H53,Mt Joli,2045-200-01C,2023-03-31,3.0,3033.17,9.09951,,
H53,Mt Joli,2045-200-05C,2023-03-31,2.0,2556.9,5.1138,,
H53,Mt Joli,2045-200-05C,2023-03-31,21.0,2556.9,53.6949,,
H53,Mt Joli,2045-200-05C,2023-03-31,1.0,2556.9,2.5569,,
H53,Mt Joli,2045-200-06C,2023-03-31,1.0,2463.01,2.46301,,
H53,Mt Joli,2045-200-06C,2023-03-31,19.0,2463.01,46.79719,,
H53,Mt Joli,2045-200-06C,2023-03-31,3.0,2463.01,7.38903,,
H53,Mt Joli,2045-200-06C,2023-03-31,1.0,2463.01,2.46301,,
H53,Mt Joli,2045-104-02A,2023-03-31,2.0,1680.56,3.36112,,
H53,Mt Joli,2045-104-02A,2023-03-31,1.0,1680.56,1.68056,,
H53,Mt Joli,2045-104-02A,2023-03-31,1.0,1680.56,1.68056,,
H53,Mt Joli,2045-106-03A,2023-03-31,6.0,1507.29,9.04374,,
H53,Mt Joli,2076-100-01A,2023-03-31,1.0,947.1,0.9471,,
H53,Mt Joli,2045-103-01A,2023-03-31,1.0,1393.89,1.39389,,
H53,Mt Joli,2045-103-01A,2023-03-31,7.0,1393.89,9.75723,,
H53,Mt Joli,2045-103-01A,2023-03-31,5.0,1393.89,6.96945,,
H53,Mt Joli,2045-103-01A,2023-03-31,23.0,1393.89,32.05947,,
H53,Mt Joli,2076-400-01A,2023-03-31,2.0,1942.74,3.88548,,
H53,Mt Joli,2045-104-03A,2023-03-31,6.0,1626.13,9.75678,,
H53,Mt Joli,2045-106-02A,2023-03-31,1.0,1540.85,1.54085,,
H53,Mt Joli,2045-106-02A,2023-03-31,5.0,1540.85,7.70425,,
H53,Mt Joli,2047-203-02B,2023-03-31,1.0,1228.78,1.22878,,
H53,Mt Joli,2047-203-02B,2023-03-31,1.0,1228.78,1.22878,,
H53,Mt Joli,2047-203-02B,2023-03-31,24.0,1228.78,29.49072,,
H53,Mt Joli,2047-203-02B,2023-03-31,1.0,1228.78,1.22878,,
H53,Mt Joli,2047-203-01B,2023-03-31,3.0,1539.95,4.61985,,
H53,Mt Joli,2047-203-01B,2023-03-31,4.0,1539.95,6.1598,,
H53,Mt Joli,2047-203-01B,2023-03-31,13.0,1539.95,20.01935,,
H53,Mt Joli,2076-100-01B,2023-03-31,2.0,948.92,1.89784,,
H53,Mt Joli,1628-200-04B,2023-03-31,1.0,1409.76,1.40976,,
H53,Mt Joli,2063-100-01C,2023-03-31,4.0,484.89,1.93956,,
H53,Mt Joli,2063-100-01C,2023-03-31,10.0,484.89,4.8489,,
H53,Mt Joli,2063-100-01C,2023-03-31,4.0,484.89,1.93956,,
H53,Mt Joli,2063-202-01C,2023-03-31,4.0,727.11,2.90844,,
H53,Mt Joli,2063-202-01C,2023-03-31,26.0,727.11,18.90486,,
H53,Mt Joli,2063-202-01C,2023-03-31,4.0,727.11,2.90844,,
H53,Mt Joli,2063-200-01C,2023-03-31,32.0,722.57,23.12224,,
H53,Mt Joli,2063-200-01C,2023-03-31,4.0,722.57,2.89028,,
H53,Mt Joli,2063-201-01C,2023-03-31,2.0,777.0,1.554,,
H53,Mt Joli,2063-201-01C,2023-03-31,66.0,777.0,51.282,,
H53,Mt Joli,2063-201-01C,2023-03-31,4.0,777.0,3.108,,
H53,Mt Joli,2063-101-01D,2023-03-31,4.0,737.09,2.94836,,
H53,Mt Joli,2063-101-01D,2023-03-31,1.0,737.09,0.73709,,
H53,Mt Joli,1944-102-01D,2023-03-31,1.0,879.97,0.87997,,
H53,Mt Joli,1944-102-01D,2023-03-31,33.0,879.97,29.03901,,
H53,Mt Joli,1944-102-01D,2023-03-31,9.0,879.97,7.91973,,
H53,Mt Joli,1944-102-01D,2023-03-31,15.0,879.97,13.19955,,
H53,Mt Joli,2050-200-01B,2023-03-31,2.0,993.37,1.98674,,
H53,Mt Joli,2050-200-01B,2023-03-31,2.0,993.37,1.98674,,
H53,Mt Joli,2050-200-01B,2023-03-31,2.0,993.37,1.98674,,
H53,Mt Joli,2050-200-02B,2023-03-31,6.0,985.66,5.91396,,
H53,Mt Joli,2050-200-02B,2023-03-31,4.0,985.66,3.94264,,
H53,Mt Joli,2071-103-01B,2023-03-31,2.0,900.83,1.80166,,
H53,Mt Joli,2071-102-01B,2023-03-31,2.0,1685.1,3.3702,,
H53,Mt Joli,2071-100-01B,2023-03-31,6.0,433.18,2.59908,,
H53,Mt Joli,2071-101-01B,2023-03-31,1.0,1056.87,1.05687,,
H53,Mt Joli,2071-101-01B,2023-03-31,3.0,1056.87,3.17061,,
H53,Mt Joli,2004-200-01E,2023-03-31,2.0,1186.14,2.37228,,
H53,Mt Joli,2004-200-01E,2023-03-31,2.0,1186.14,2.37228,,
H53,Mt Joli,2004-200-01E,2023-03-31,45.0,1186.14,53.3763,,
H53,Mt Joli,2004-200-01E,2023-03-31,1.0,1186.14,1.18614,,
H53,Mt Joli,2049-201-01A,2023-03-31,6.0,112.04,0.67224,,
H53,Mt Joli,2049-201-01A,2023-03-31,5.0,112.04,0.5602,,
H53,Mt Joli,2004-200-03E,2023-03-31,1.0,1186.14,1.18614,,
H53,Mt Joli,2004-200-03E,2023-03-31,8.0,1186.14,9.48912,,
H53,Mt Joli,2004-200-03E,2023-03-31,1.0,1186.14,1.18614,,
H53,Mt Joli,2049-101-01A,2023-03-31,4.0,523.9,2.0956,,
H53,Mt Joli,2049-200-01A,2023-03-31,1.0,589.67,0.58967,,
H53,Mt Joli,2049-200-01A,2023-03-31,3.0,589.67,1.76901,,
H53,Mt Joli,2049-200-02A,2023-03-31,1.0,417.3,0.4173,,
H53,Mt Joli,2049-200-02A,2023-03-31,7.0,417.3,2.9211,,
H53,Mt Joli,2049-100-01A,2023-03-31,6.0,358.34,2.15004,,
H53,Mt Joli,2058-200-01A,2023-03-31,2.0,2125.53,4.25106,,
H53,Mt Joli,2058-200-01A,2023-03-31,2.0,2125.53,4.25106,,
H53,Mt Joli,2058-200-02A,2023-03-31,4.0,2344.62,9.37848,,
H53,Mt Joli,1664-301-01D,2023-03-31,3.0,822.36,2.46708,,
H53,Mt Joli,1664-302-01C,2023-03-31,2.0,815.11,1.63022,,
12A,Xuzhou,PA10BC9V,2023-03-31,12.0,129.0,1.548,,
12A,Xuzhou,OC7495S79-3A,2023-03-31,1.0,1124.0,1.124,,
12A,Xuzhou,OC7495S79-3A,2023-03-31,2.0,1124.0,2.248,,
12A,Xuzhou,DELB140X490-1B,2023-03-31,3.0,200.0,0.6,,
12A,Xuzhou,DELB140X490-1B,2023-03-31,1.0,200.0,0.2,,
12A,Xuzhou,OC7495DS84-2A,2023-03-31,9.0,1283.0,11.547,,
12A,Xuzhou,OC7495DS84-2A,2023-03-31,17.0,1283.0,21.811,,
12A,Xuzhou,OC7495DS84-2A,2023-03-31,8.0,1283.0,10.264,,
12A,Xuzhou,OC7495DS84-2A,2023-03-31,3.0,1283.0,3.849,,
12A,Xuzhou,OC7495DS84-2A,2023-03-31,18.0,1283.0,23.094,,
12A,Xuzhou,OC7495DS84-2A,2023-03-31,5.0,1283.0,6.415,,
12A,Xuzhou,OC7495DS84-2A,2023-03-31,14.0,1283.0,17.962,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,20.0,887.0,17.74,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,6.0,887.0,5.322,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,7.0,887.0,6.209,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,16.0,887.0,14.192,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,89.0,887.0,78.943,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,32.0,887.0,28.384,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,6.0,887.0,5.322,,
12A,Xuzhou,BL996S1400-1A,2023-03-31,14.0,887.0,12.418,,
12A,Xuzhou,OC7495S79-3AS,2023-03-31,12.0,1124.0,13.488,,
12A,Xuzhou,OC7495S79-3AS,2023-03-31,17.0,1124.0,19.108,,
12A,Xuzhou,OC7495S79-3AS,2023-03-31,6.0,1124.0,6.744,,
12A,Xuzhou,OC7495S79-3AS,2023-03-31,25.0,1124.0,28.1,,
12A,Xuzhou,OC7495S79-3AS,2023-03-31,14.0,1124.0,15.736,,
12A,Xuzhou,OC7495S79-3AS,2023-03-31,20.0,1124.0,22.48,,
12A,Xuzhou,DELB140X465-4R,2023-03-31,1.0,184.0,0.184,,
12A,Xuzhou,P2P22XALB,2023-03-31,52.0,116.0,6.032,,
12A,Xuzhou,P2P22XALB,2023-03-31,168.0,116.0,19.488,,
12A,Xuzhou,P2P22XALB,2023-03-31,27.0,116.0,3.132,,
12A,Xuzhou,P2P22XALB,2023-03-31,81.0,116.0,9.396,,
12A,Xuzhou,1500-M1-1038,2023-03-31,12.0,1463.0,17.556,,
